ID,Original,Spike,Duplicate
3169,0,3;250;0.05;25;0.5166,39;250;0.05;25;0.5119
3180,0.0181,3;250;0.05;25;0.5253,39;250;0.05;25;0.5317
3191,0,3;250;0.05;25;0.5135,39;250;0.05;25;0.5162
3230,0,3;250;0.05;25;0.5107,39;250;0.05;25;0.5161
3243,0,3;250;0.05;25;0.5044,39;250;0.05;25;0.5193
3244,0,3;250;0.05;25;0.5144,39;250;0.05;25;0.5149
3249,0,3;250;0.05;25;0.5169,39;250;0.05;25;0.5155
3260,0.0111,3;250;0.05;25;0.521,39;250;0.05;25;0.522
4625,4.3306,3;250;0.25;25;6.8482,39;250;0.25;25;6.837
4626,0.1708,3;250;0.05;25;0.6614,39;250;0.05;25;0.6639
4833,3.0391,3;250;0.25;25;5.6018,39;250;0.25;25;5.7227
4834,0.096,3;250;0.05;25;0.5898,39;250;0.05;25;0.5984
5035,3.0192,3;250;0.25;25;5.6094,39;250;0.25;25;5.5699
5238,0.4025,3;250;0.05;25;0.9087,39;250;0.05;25;0.9076
5326,0.0563,3;250;0.05;25;0.5673,39;250;0.05;25;0.5719
5334,0.0577,3;250;0.05;25;0.5614,39;250;0.05;25;0.5706
5364,0.085,3;250;0.05;25;0.593,39;250;0.05;25;0.5945
5384,0.1434,3;250;0.05;25;0.6444,39;250;0.05;25;0.6332
5459,0.1073,3;250;0.05;25;0.6114,39;250;0.05;25;0.6122
5472,5.0602,3;250;0.25;25;7.4671,39;250;0.25;25;7.3982
5473,0.3028,3;250;0.05;25;0.8191,39;250;0.05;25;0.8331
5524,0.053,3;250;0.05;25;0.5463,39;250;0.05;25;0.5546
5529,0.0543,3;250;0.05;25;0.5565,39;250;0.05;25;0.5614
5539,0.0542,3;250;0.05;25;0.5743,39;250;0.05;25;0.5584
5558,0.048,3;250;0.05;25;0.5534,39;250;0.05;25;0.5625
5566,0.0372,3;250;0.05;25;0.5487,39;250;0.05;25;0.5391
5690,0.0345,3;250;0.05;25;0.5307,39;250;0.05;25;0.5291
5693,0,3;250;0.05;25;0.5119,39;250;0.05;25;0.5158
5695,0,3;250;0.05;25;0.5079,39;250;0.05;25;0.5132
5699,0,3;250;0.05;25;0.5146,39;250;0.05;25;0.5186
5703,0,3;250;0.05;25;0.5119,39;250;0.05;25;0.5191
5990,4.0453,3;250;0.25;25;6.5703,39;250;0.25;25;6.6361
5991,0.1684,3;250;0.05;25;0.6562,39;250;0.05;25;0.6683
6304,8.2755,3;250;0.25;25;10.9869,39;250;0.25;25;10.8151
6305,0.5956,3;250;0.05;25;1.0965,39;250;0.05;25;1.1103
6419,4.204,3;250;0.25;25;6.8134,39;250;0.25;25;6.7837
6420,0.153,3;250;0.05;25;0.6558,39;250;0.05;25;0.6516
6433,9.9233,3;250;0.25;25;11.9336,39;250;0.25;25;12.2327
6434,0.9148,3;250;0.05;25;1.4217,39;250;0.05;25;1.4311
6496,0.071,3;250;0.05;25;0.5772,39;250;0.05;25;0.5689
6497,0.0736,3;250;0.05;25;0.5807,39;250;0.05;25;0.5811
6507,0.0672,3;250;0.05;25;0.5732,39;250;0.05;25;0.576
6517,0.0764,3;250;0.05;25;0.59,39;250;0.05;25;0.586
6532,0.0322,3;250;0.05;25;0.5442,39;250;0.05;25;0.5448
6832,4.0691,3;250;0.25;25;6.6157,39;250;0.25;25;6.5406
6833,0.1786,3;250;0.05;25;0.6711,39;250;0.05;25;0.6589
7497,0.0821,3;250;0.05;25;0.5733,39;250;0.05;25;0.5827
7509,0.0106,3;250;0.05;25;0.5096,39;250;0.05;25;0.5125
7517,0,3;250;0.05;25;0.5113,39;250;0.05;25;0.5136
7518,0.0149,3;250;0.05;25;0.5322,39;250;0.05;25;0.5287
7528,0,3;250;0.05;25;0.4948,39;250;0.05;25;0.5138
7782,0.0827,3;250;0.05;25;0.589,39;250;0.05;25;0.5946
7793,0.0977,3;250;0.05;25;0.5919,39;250;0.05;25;0.5966
